,TCUID,Company,Country,ISIN,GICS Sector Name,Carbon-Scope 1  (tonnes CO2e),Carbon-Scope 2  (tonnes CO2e),Carbon-Scope 3 (tonnes CO2e),Carbon Intensity-Scope 1 (tonnes CO2e/USD mn),Carbon Intensity-Scope 2 (tonnes CO2e/USD mn),Carbon Intensity-Scope 3 (tonnes CO2e/USD mn),Carbon Disclosure,Revenue (USD mn)
1381,42831,Kering SA,FRANCE,FR0000121485,Consumer Discretionary,75630.518,116343.972,1092284.961,5.065,7.792,73.157,Exact Value from CDP,14930.7184
1396,42832,Stellantis N.V.,NETHERLANDS,NL00150001Q9,Consumer Discretionary,686690.0,200595.0,18148772.366,9.92,2.898,262.188,Exact Value from Environmental/CSR,69220.48659244535
1408,42833,EssilorLuxottica,FRANCE,FR0000121667,Consumer Discretionary,46011.0,697286.465,1430442.226,2.798,42.401,86.982,Value derived from data provided in Environmental/CSR,16445.19381511865
1420,42834,Schneider Electric S.E.,FRANCE,FR0000121972,Industrials,142253.313,385037.0,4911405.891,4.961,13.428,171.281,Exact Value from CDP,28674.51969713255
1436,42835,Unibail-Rodamco-Westfield,FRANCE,FR0013326246,Real Estate,22735.0,123190.773,35687.792,20.074,108.773,31.511,Value derived from data provided in CDP,1132.551780362566
1448,42836,Compagnie de Saint-Gobain S.A.,FRANCE,FR0000125007,Industrials,8025791.492,2562948.38,7374805.049,184.689,58.978,169.709,Exact Value from CDP,43455.70529130887
1464,42837,Capgemini SE,FRANCE,FR0000125338,Information Technology,8699.43,114749.901,727572.481,0.482,6.353,40.281,Exact Value from CDP,18062.47359786403
1479,42838,VINCI SA,FRANCE,FR0000125486,Industrials,1966956.0,265637.698,8312798.544,39.118,5.283,165.321,Value derived from data provided in CDP,50282.70045389864
1491,42839,"Casino, Guichard-Perrachon S.A.",FRANCE,FR0000125585,Consumer Staples,491583.766,241000.0,3511186.678,13.267,6.504,94.762,Exact Value from CDP,37052.68906588722
1506,42842,Lagardere SA,FRANCE,FR0000130213,Communication Services,10932.0,80646.0,394940.956,2.161,15.94,78.063,Value derived from data provided in Annual Report/Financial Accounts Disclosure,5059.270590658516
1522,42843,Valeo SE,FRANCE,FR0013176526,Consumer Discretionary,194262.0,823707.0,6944617.981,10.37,43.972,370.723,Value derived from data provided in CDP,18732.6367
1538,42844,Christian Dior SE,FRANCE,FR0000130403,Consumer Discretionary,212886.678,188291.533,10627432.1,4.183,3.7,208.831,Value derived from data provided in Annual Report/Financial Accounts Disclosure,50890.1759524967
1564,42846,Renault SA,FRANCE,FR0000131906,Consumer Discretionary,498612.0,535615.733,12349054.797,10.063,10.81,249.231,Exact Value from CDP,49548.71289504513
1576,42848,Vantiva S.A.,FRANCE,FR0013505062,Communication Services,5512.0,110605.266,318882.104,1.609,32.284,93.076,Value derived from data provided in CDP,3426.034699657397
1598,42850,discoverIE Group plc,UNITED KINGDOM,GB0000055888,Industrials,2742.03,7298.55,23511.652,4.626,12.313,39.666,Value derived from data provided in Annual Report/Financial Accounts Disclosure,592.743698617788
1614,42854,Speedy Hire Plc,UNITED KINGDOM,GB0000163088,Industrials,18735.62,2990.4,32663.783,36.248,5.786,63.195,Value derived from data provided in Annual Report/Financial Accounts Disclosure,516.8715
1662,42862,Pharos Energy plc,UNITED KINGDOM,GB00B572ZV91,Energy,114709.0,67.0,13790.128,849.696,0.496,102.149,Exact Value from CDP,135.0
1681,42869,Nanoco Group PLC,UNITED KINGDOM,GB00B01JLR99,Information Technology,292.0,390.202,749.659,60.056,80.253,154.182,Value derived from data provided in Annual Report/Financial Accounts Disclosure,4.862164106387
1696,42870,Antofagasta plc,UNITED KINGDOM,GB0000456144,Materials,1055320.24,1290081.135,677612.198,205.744,251.512,132.106,Exact Value from CDP,5129.299816561937
1712,42872,Ashtead Group plc,UNITED KINGDOM,GB0000536739,Industrials,296128.0,36399.0,408687.06,46.288,5.69,63.882,Value derived from data provided in Annual Report/Financial Accounts Disclosure,6397.5282
1758,42878,Signature Aviation Limited,UNITED KINGDOM,GB00BKDM7X41,Industrials,34484.635,40516.837,109625.684,24.39,28.656,77.534,Exact Value from CDP,1413.9
1778,42883,A.G. BARR p.l.c.,UNITED KINGDOM,GB00B6XZKY75,Consumer Staples,5467.31,5719.0,123606.984,16.734,17.504,378.325,Value derived from data provided in CDP,326.7219
1794,42884,Barratt Developments PLC,UNITED KINGDOM,GB0000811801,Consumer Discretionary,18374.0,4700.0,900535.193,4.266,1.091,209.064,Exact Value from CDP,4307.452048944613
1810,42886,The Restaurant Group plc,UNITED KINGDOM,GB00B0YG1K06,Consumer Discretionary,13267.0,17955.893,107734.954,22.506,30.461,182.763,Value derived from data provided in Annual Report/Financial Accounts Disclosure,589.477919064565
1822,42887,Bellway p.l.c.,UNITED KINGDOM,GB0000904986,Consumer Discretionary,16892.0,30574.505,588161.146,6.02,10.896,209.602,Value derived from data provided in Environmental/CSR,2806.083941375925
1841,42892,Balfour Beatty Plc,UNITED KINGDOM,GB0000961622,Industrials,162816.0,43560.63,1475220.936,17.342,4.64,157.132,Exact Value from CDP,9388.39179906116
1877,42897,Ted Baker Plc,UNITED KINGDOM,GB0001048619,Consumer Discretionary,426.82,3607.636,48728.231,0.53,4.478,60.487,Value derived from data provided in CDP,805.596279486912
1902,42902,British Land Company Plc,UNITED KINGDOM,GB0001367019,Real Estate,6945.0,15376.198,25924.518,8.156,18.058,30.446,Exact Value from CDP,851.4972
1941,42909,N Brown Group plc,UNITED KINGDOM,GB00B1P6ZR11,Consumer Discretionary,2206.9,3788.2,75189.595,2.013,3.455,68.576,Exact Value from CDP,1096.447993257224
1957,42910,Aggreko Limited,UNITED KINGDOM,GB00BK1PTB77,Industrials,82667.784,15938.931,111838.527,47.22,9.104,63.882,Value derived from fuel use provided in CDP,1750.704144439216
1969,42911,Tullow Oil plc,UNITED KINGDOM,GB0001500809,Energy,2032027.0,1445.165,148105.268,1455.502,1.035,106.085,Value derived from data provided in CDP,1396.1
1999,42913,Bunzl plc,UNITED KINGDOM,GB00B0744B38,Industrials,90567.0,27432.377,651854.495,6.984,2.115,50.266,Exact Value from CDP,12968.1651
2013,42919,Aveva Group Plc,UNITED KINGDOM,GB00BBG9VN75,Information Technology,2193.0,9264.0,56154.665,2.07,8.742,52.993,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,1059.66919752897
2039,42921,J D Wetherspoon plc,UNITED KINGDOM,GB0001638955,Consumer Discretionary,45012.0,68383.047,290670.652,28.302,42.997,182.763,Value derived from data provided in Annual Report/Financial Accounts Disclosure,1590.420975310513
2055,42922,easyJet plc,UNITED KINGDOM,GB00B7KR2P84,Industrials,4247159.0,998.489,506244.723,1107.718,0.26,132.036,Value derived from data provided in CDP,3834.152006062849
2070,42926,Capita plc,UNITED KINGDOM,GB00B23K0M20,Information Technology,18979.0,28359.0,170984.542,4.451,6.65,40.097,Value derived from data provided in CDP,4264.279260497983
2086,42927,Capital & Regional PLC,UNITED KINGDOM,GB00BL6XZ716,Real Estate,1260.0,3796.0,3126.383,13.514,40.715,33.533,Value derived from data provided in Annual Report/Financial Accounts Disclosure,93.233405417215
2102,42930,Brewin Dolphin Holdings PLC,UNITED KINGDOM,GB0001765816,Financials,235.0,698.0,15292.575,0.51,1.516,33.204,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,460.565882819939
2137,42934,Castings P.L.C.,UNITED KINGDOM,GB0001795680,Materials,5235.733,60319.266,51716.619,29.71,342.274,293.46,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,176.2307
2157,42938,Diploma PLC,UNITED KINGDOM,GB0001826634,Industrials,773.0,3577.133,30888.355,1.127,5.214,45.024,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,686.044355991495
2172,42939,Vistry Group PLC,UNITED KINGDOM,GB0001859296,Consumer Discretionary,5970.22,1904.717,487044.392,2.569,0.82,209.602,Value derived from data provided in Annual Report/Financial Accounts Disclosure,2323.661526255697
2204,42942,Chemring Group PLC,UNITED KINGDOM,GB00B45C9X44,Industrials,9293.0,13187.0,85907.745,18.075,25.649,167.092,Value derived from data provided in Annual Report/Financial Accounts Disclosure,514.133347464173
2228,42947,TClarke plc,UNITED KINGDOM,GB0002015021,Industrials,1654.0,164.0,36058.001,7.132,0.707,155.489,Value derived from data provided in Annual Report/Financial Accounts Disclosure,231.899975411314
2251,42949,Rathbones Group Plc,UNITED KINGDOM,GB0002148343,Financials,198.0,455.173,14607.718,0.391,0.899,28.864,Value derived from data provided in CDP,506.084383888171
2263,42950,Aviva plc,UNITED KINGDOM,GB00BPQY8M80,Financials,11749.0,17918.606,1235496.981,0.232,0.353,24.364,Value derived from data provided in CDP,50710.14149492898
2279,42957,Costain Group PLC,UNITED KINGDOM,GB00B64NSP76,Industrials,13167.881,1471.075,178345.447,10.493,1.172,142.123,Derived from previous year,1254.863660049847
2280,42958,Countryside Partnerships PLC,UNITED KINGDOM,GB00BYPHNG03,Consumer Discretionary,5770.0,1906.0,238236.164,5.076,1.677,209.602,Value derived from data provided in Environmental/CSR,1136.6114
2298,42962,Cranswick plc,UNITED KINGDOM,GB0002318888,Consumer Staples,66444.317,38299.58,4046497.392,31.345,18.068,1908.932,Value derived from data provided in CDP,2119.770724189356
2317,42964,Crest Nicholson Holdings plc,UNITED KINGDOM,GB00B8VZXT93,Consumer Discretionary,4232.2,1771.0,181497.728,4.888,2.045,209.602,Exact Value from CDP,865.9155
2333,42965,Croda International Plc,UNITED KINGDOM,GB00BJFFLV09,Materials,149621.0,73994.0,826561.499,83.908,41.496,463.539,Value derived from data provided in CDP,1783.1532
2348,42968,Schroders Plc,UNITED KINGDOM,GB00BP9LHF23,Financials,504.0,3599.0,113105.536,0.15,1.075,33.771,Value derived from data provided in CDP,3349.1677
2354,42969,DFS Furniture Plc,UNITED KINGDOM,GB00BTC0LB89,Consumer Discretionary,20434.0,7054.0,54559.325,22.384,7.727,59.767,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,912.8719
2384,42973,Hyve Group Plc,UNITED KINGDOM,GB00BKP36R26,Communication Services,222.0,621.0,3959.952,1.658,4.638,29.574,Value derived from data provided in Annual Report/Financial Accounts Disclosure,133.8984
2427,42983,BAE Systems Plc,UNITED KINGDOM,GB0002634946,Industrials,151190.0,336207.0,4044467.712,6.115,13.598,163.584,Value derived from data provided in CDP,24724.046910406654
2442,42985,U and I Group Plc,UNITED KINGDOM,GB0002668464,Real Estate,713.0,1055.0,2710.592,8.009,11.851,30.448,Value derived from data provided in Annual Report/Financial Accounts Disclosure,89.0247
2458,42986,Devro plc,UNITED KINGDOM,GB0002670437,Consumer Staples,53649.0,60589.0,647624.687,168.939,190.793,2039.354,Value derived from data provided in Annual Report/Financial Accounts Disclosure,317.563589921723
2482,42989,WH Smith PLC,UNITED KINGDOM,GB00B2PDGW16,Consumer Discretionary,6025.0,21010.965,89046.206,4.649,16.214,68.715,Exact Value from CDP,1295.8798
2497,42990,Provident Financial plc,UNITED KINGDOM,GB00B1Z4ST84,Financials,408.0,1113.009,13524.671,0.846,2.307,28.03,Value derived from data provided in CDP,482.5018
2522,42997,Computacenter Plc,UNITED KINGDOM,GB00BV9FP302,Information Technology,5640.0,8216.0,315048.713,0.808,1.177,45.144,Value derived from data provided in Annual Report/Financial Accounts Disclosure,6978.778765765981
2538,42998,Big Yellow Group Plc,UNITED KINGDOM,GB0002869419,Real Estate,131.66,2439.0,11375.84,0.801,14.841,69.22,Value summed up from data provided in Environmental/CSR,164.342774053243
2554,42999,RM plc,UNITED KINGDOM,GB00BJT0FF39,Information Technology,746.0,948.089,8535.232,3.084,3.919,35.285,Value derived from data provided in Annual Report/Financial Accounts Disclosure,241.893047584828
2574,43005,Town Centre Securities Plc,UNITED KINGDOM,GB0003062816,Real Estate,10.876,41.131,1454.889,0.308,1.166,41.262,Value derived from data provided in Annual Report/Financial Accounts Disclosure,35.260083254427
2590,43006,RS Group plc,UNITED KINGDOM,GB0003096442,Industrials,4773.9,8784.255,99915.51,1.923,3.538,40.239,Value derived from data provided in CDP,2483.0675
2622,43015,Spectris plc,UNITED KINGDOM,GB0003308607,Information Technology,12189.51,30921.8,315518.316,7.113,18.043,184.108,Exact Value from CDP,1713.7663
2660,43019,Studio Retail Group plc,UNITED KINGDOM,GB00B8B4R053,Consumer Discretionary,328.414,6282.747,36361.164,0.594,11.36,65.748,Exact Value from Annual Report/10K/Financial Accounts Disclosure,553.041818452649
2673,43021,James Fisher and Sons plc,UNITED KINGDOM,GB0003395000,Industrials,80687.073,1600.0,71541.216,121.405,2.407,107.643,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,664.613471486239
2694,43025,"Fuller, Smith & Turner P.L.C.",UNITED KINGDOM,GB00B1YPC344,Consumer Discretionary,8436.0,8902.0,76521.265,20.149,21.262,182.763,Value derived from data provided in Annual Report/Financial Accounts Disclosure,418.690444647652
2706,43026,Galliford Try Holdings PLC,UNITED KINGDOM,GB00BKY40Q38,Industrials,22510.0,3709.0,245950.659,15.931,2.625,174.066,Value derived from data provided in Annual Report/Financial Accounts Disclosure,1412.97328872649
2721,43028,Games Workshop Group PLC,UNITED KINGDOM,GB0003718474,Consumer Discretionary,791.0,4705.739,95229.595,2.326,13.836,279.991,Value derived from data provided in Annual Report/Financial Accounts Disclosure,340.116433203214
2737,43029,MJ Gleeson Plc,UNITED KINGDOM,GB00BRKD9Z53,Consumer Discretionary,2692.0,331.0,30298.746,14.519,1.785,163.409,Value derived from data provided in Annual Report/Financial Accounts Disclosure,185.416210420875
2762,43033,The Go-Ahead Group plc,UNITED KINGDOM,GB0003753778,Industrials,369665.0,367474.453,536752.6,75.252,74.806,109.265,Value derived from data provided in Environmental/CSR,4912.383415140735
2778,43034,Redde Northgate plc,UNITED KINGDOM,GB00B41H7391,Industrials,6446.0,2971.265,52966.252,6.534,3.012,53.685,Value derived from data provided in Annual Report/Financial Accounts Disclosure,986.605010823652
2800,43039,Greggs plc,UNITED KINGDOM,GB00B63QSB39,Consumer Discretionary,27653.0,39860.0,190208.934,26.571,38.3,182.763,Value derived from data provided in Annual Report/Financial Accounts Disclosure,1040.738979816637
2814,43043,Halma plc,UNITED KINGDOM,GB0004052071,Information Technology,4790.0,12336.113,237851.561,2.816,7.252,139.834,Exact Value from CDP,1700.960992265744
2828,43045,Hammerson plc,UNITED KINGDOM,GB00BK7YQK64,Real Estate,3309.0,13726.77,9938.518,10.137,42.053,30.448,Value derived from data provided in Environmental/CSR,326.413350047759
2842,43046,Standard Chartered PLC,UNITED KINGDOM,GB0004082847,Financials,3988.0,113873.283,302295.705,0.32,9.139,24.261,Value derived from data provided in CDP,12460.0
2865,43049,Stagecoach Group plc,UNITED KINGDOM,GB00B6YTLS95,Industrials,529804.0,11786.014,190069.442,295.274,6.569,105.931,Value derived from data provided in Annual Report/Financial Accounts Disclosure,1794.278032634318
2881,43050,Hays plc,UNITED KINGDOM,GB0004161021,Industrials,5926.926,6007.818,145614.274,0.793,0.804,19.494,Value derived from data provided in CDP,7469.886871882776
2897,43051,Headlam Group plc,UNITED KINGDOM,GB0004170089,Consumer Discretionary,13254.19,1623.88,39358.895,16.963,2.078,50.374,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,781.339875203202
2911,43052,Helical plc,UNITED KINGDOM,GB00B0FYMT95,Real Estate,642.26,1789.0,4632.093,10.276,28.624,74.114,Exact Value from CDP,62.499895156638
2969,43058,STV Group Plc,UNITED KINGDOM,GB00B3CX3644,Communication Services,396.31,732.112,6954.417,2.885,5.33,50.628,Value derived from data provided in Annual Report/Financial Accounts Disclosure,137.362941770733
2982,43063,Hunting PLC,UNITED KINGDOM,GB0004478896,Energy,6860.0,24986.0,138155.023,10.958,39.914,220.695,Value derived from data provided in CDP,626.0
2998,43066,Imperial Brands Plc,UNITED KINGDOM,GB0004544929,Consumer Staples,92151.682,136744.31,3924207.271,4.357,6.465,185.523,Exact Value from CDP,21152.184824403437
