,TCUID,Company,ISIN,GICS Sector Name,Carbon-Scope 1  (tonnes CO2e),Carbon-Scope 2  (tonnes CO2e),Carbon-Scope 3 (tonnes CO2e),Carbon Intensity-Scope 1 (tonnes CO2e/USD mn),Carbon Intensity-Scope 2 (tonnes CO2e/USD mn),Carbon Intensity-Scope 3 (tonnes CO2e/USD mn),Carbon Disclosure,Revenue (USD mn)
36120,185851,West China Cement Limited,JE00B3MW7P88,Materials,6980660.342,266444.801,452111.864,6755.917,257.867,437.556,Estimated data,1033.2662
36140,185856,"Winall Hi-tech Seed Co., Ltd.",CNE100000QN4,Consumer Staples,615212.995,10070.256,129445.293,2650.838,43.391,557.756,Estimated data,232.082441047629
36149,185857,E-Commodities Holdings Limited,VGG2921V1067,Materials,14801.76,19250.45,141000.097,5.224,6.794,49.762,Value derived from data provided in Environmental/CSR,2833.481304807976
36157,185862,"Xinjiang Xinxin Mining Industry Co., Ltd.",CNE1000007G2,Materials,44732.789,71522.695,33762.081,166.525,266.254,125.685,Estimated data,268.6254
36162,185863,"Xinxing Ductile Iron Pipes Co., Ltd.",CNE000000QG9,Materials,15987749.09,825759.409,3637347.931,2568.355,132.654,584.323,Estimated data,6224.8977
36202,185871,"Beijing Dabeinong Technology Group Co.,Ltd.",CNE100000N61,Consumer Staples,1230713.781,139601.689,3592090.011,372.306,42.231,1086.65,Estimated data,3305.654228593887
36350,185908,"Guangdong Haid Group Co., Limited",CNE100000HP8,Consumer Staples,1952791.3,362738.408,9994456.967,223.413,41.5,1143.434,Estimated data,8740.736331937598
36435,185929,"Muyuan Foods Co., Ltd.",CNE100001RQ3,Consumer Staples,13837698.589,453421.962,5442669.33,1696.969,55.605,667.455,Estimated data,8154.362708721862
36506,185945,"New Hope Liuhe Co.,Ltd.",CNE000000VB0,Consumer Staples,9237054.7,715154.231,18205239.824,580.461,44.941,1144.025,Estimated data,15913.317434002844
36962,186074,"Yuan Long Ping High-Tech Agriculture Co., Ltd.",CNE000001360,Consumer Staples,1104157.648,20149.702,228410.761,2315.83,42.261,479.062,Estimated data,476.786985594485
36968,186076,YuanShengTai Dairy Farm Limited,BMG987851018,Consumer Staples,29879.0,58.0,156543.801,132.695,0.258,695.221,Value derived from data provided in Annual Report/Financial Accounts Disclosure,225.171293219252
36998,186082,Zhejiang NHU Company Ltd.,CNE000001J84,Health Care,109929.952,51633.857,278635.038,73.557,34.55,186.443,Estimated data,1494.477299850552
37025,186088,Huadian Energy Company Limited,CNE000000K58,Utilities,26081522.064,1758.299,1398471.079,16868.607,1.137,904.482,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,1546.157453284812
37026,186090,"Huaxin Cement Co., Ltd.",CNE000000DC6,Materials,26895878.26,1030813.929,2139633.67,6322.991,242.336,503.01,Estimated data,4253.664138564586
37249,188452,"Beijing Easpring Material Technology CO.,LTD.",CNE100000NN1,Materials,182604.649,98996.615,119435.828,395.889,214.626,258.938,Estimated data,461.252299953875
37263,188455,"Cangzhou Mingzhu Plastic Co., Ltd.",CNE000001QC6,Energy,27852.842,26137.378,136663.126,69.584,65.298,341.421,Estimated data,400.277252944477
37268,188456,China Rare Earth Holdings Limited,KYG210891001,Materials,60504.163,50386.99,36798.793,421.901,351.353,256.601,Derived from previous year,143.408347593584
37322,188467,"Kingenta Ecological Engineering Group Co., Ltd.",CNE100000TC1,Materials,1795970.934,172467.493,778368.074,1324.944,127.235,574.226,Estimated data,1355.5071
37495,188504,"Valiant Co.,Ltd",CNE1000019T0,Materials,9098.429,11001.341,104163.117,21.518,26.019,246.351,Estimated data,422.824039470588
37514,188509,Tianjin Capital Environmental Protection Group Company Limited,CNE000000HX3,Industrials,47359.119,5635.25,24353.418,97.164,11.562,49.965,Estimated data,487.414385322134
37559,188519,"Hubei Dinglong CO.,Ltd.",CNE100000LM7,Materials,6046.815,7837.621,75859.259,22.969,29.772,288.157,Estimated data,263.257
37570,188520,ADAMA Ltd.,CNE0000004V0,Materials,432563.0,183848.449,991885.609,104.951,44.606,240.658,Value derived from data provided in CDP,4121.563815022256
37599,188527,"Kangde Xin Composite Material Group Co., Ltd.",CNE100000RN2,Materials,10400.68,7179.894,29075.344,64.827,44.752,181.226,Estimated data,160.436991314288
37637,188537,"Dynagreen Environmental Protection Group Co., Ltd.",CNE100001SH0,Industrials,28874.023,3725.84,28916.018,87.492,11.29,87.619,Derived from previous year,330.019415877045
37647,188540,Kangda International Environmental Company Limited,KYG521541048,Utilities,1076.0,258321.0,83539.004,2.228,534.983,173.009,Value derived from data provided in Environmental/CSR,482.858599951714
37678,188550,China Everbright Water Limited,BMG2116Y1057,Utilities,33300.68,342619.47,36492.821,45.608,469.242,49.98,Value derived from data provided in Environmental/CSR,730.154576132493
37737,188566,"Shandong Sinocera Functional Material Co., Ltd.",CNE100001FB0,Materials,199115.42299807564,23276.858763791275,69332.95637858125,540.5386806721914,63.18969337947403,188.21819125655125,Estimated data,368.3648
37740,188567,"Shenzhen Capchem Technology Co., Ltd.",CNE100000K15,Materials,9854.826,12773.4,123631.983,22.969,29.772,288.157,Estimated data,429.044327888135
37982,188626,"Bank of Chongqing Co., Ltd.",CNE100001QN2,Financials,707.181,4870.463,30899.803,0.577,3.976,25.223,Estimate used instead of disclosure - data does not cover global operations,1225.087473758801
38068,188645,Bloomage BioTechnology Corporation Limited,CNE100003NL9,Health Care,93403.566,25316.256,168855.735,231.62,62.779,418.725,Estimated data,403.261639959673
38209,188687,Chaowei Power Holdings Limited,KYG204791043,Consumer Discretionary,113486.591,273457.933,1104606.779,28.685,69.119,279.199,Estimated data,3956.341237879302
38262,188696,"Chongqing Machinery & Electric Co., Ltd.",CNE1000009W5,Industrials,16249.397,105578.742,251732.978,17.614,114.442,272.866,Value derived from data provided in Annual Report/Financial Accounts Disclosure,922.552605525824
38321,188709,"CITIC Heavy Industries Co., Ltd.",CNE100001SX7,Industrials,12705.425,22436.794,270838.971,13.878,24.508,295.84,Estimated data,915.48997243118
38387,188722,Consun Pharmaceutical Group Limited,KYG2524A1031,Health Care,16418.91,15438.76,22700.011,64.647,60.787,89.377,Value derived from data provided in Environmental/CSR,253.979392351733
38413,188727,Coolpad Group Limited,KYG2418K1004,Information Technology,4778.714,11791.59,13897.767,45.66,112.668,132.792,Estimate used instead of disclosure - data does not cover global operations,104.657897612996
38539,188764,Beijing Capital Land Ltd.,CNE100000239,Real Estate,171.294,1614.3,543630.248,0.056,0.524,176.575,Value derived from data provided in Environmental/CSR,3078.745531729328
38715,188815,"Chengdu CORPRO Technology Co., Ltd.",CNE100000SB5,Information Technology,3655.589,2291.515,12214.574,43.711,27.4,146.053,Estimated data,83.631162915904
38736,188820,China Lesso Group Holdings Limited,KYG2157Q1029,Industrials,57747.21,668448.262,1337043.855,14.197,164.331,328.698,Value derived from fuel use provided in Environmental/CSR,4067.700760455853
38744,188821,China Machinery Engineering Corporation,CNE100001NP4,Industrials,28236.433,25459.873,132008.085,10.203,9.199,47.699,Estimate used instead of disclosure - data does not cover global operations,2767.551702353223
38762,188824,China National Accord Medicines Corporation Ltd.,CNE0000009N6,Health Care,144110.262,201043.715,485881.138,16.674,23.261,56.217,Estimated data,8643.011738862355
38773,188829,China SCE Group Holdings Limited,KYG211901064,Real Estate,108529.15,49620.317,947613.914,22.995,10.514,200.78,Estimate used instead of disclosure - data does not cover global operations,4719.664357873289
38881,188860,"Bingshan Refrigeration & Heat Transfer Technologies Co., Ltd.",CNE000000VH7,Industrials,3228.316,4125.546,73083.518,12.899,16.484,292.012,Estimated data,250.2755
38959,188880,Shanghai Huayi Group Corporation Limited,CNE0000006G6,Materials,631082.993,262351.245,1692958.049,153.259,63.712,411.136,Estimated data,4117.760683448505
39107,188920,"Fantasia Holdings Group Co., Limited",KYG3311L1041,Real Estate,39368.196,169958.241,99029.27,12.487,53.907,31.41,Estimated data,3152.785644740321
39163,188932,Boer Power Holdings Limited,KYG121611084,Industrials,185.01,1766.83,16365.947,1.563,14.931,138.305,Value derived from data provided in Environmental/CSR,118.33209875424
39287,188971,"Eastern Communications Co., Ltd.",CNE000000ND3,Information Technology,4638.505,7664.953,53716.362,10.79,17.831,124.957,Estimated data,429.8776
39373,188991,"Financial Street Holdings Co., Ltd.",CNE000000KT5,Real Estate,33211.031,145708.738,79947.229,12.648,55.493,30.448,Estimated data,2625.727856872016
39437,189002,First Tractor Company Limited,CNE100000320,Industrials,33217.831,107374.183,343257.428,30.234,97.731,312.428,Value derived from data provided in Environmental/CSR,1098.675932495991
39478,189009,"Foshan Electrical and Lighting Co.,Ltd",CNE000000DN3,Industrials,25003.308,20070.724,84819.821,46.078,36.988,156.314,Estimated data,542.6259
39571,189031,GoerTek Inc.,CNE100000BP1,Information Technology,234993.086,105338.944,1501660.981,28.087,12.59,179.48,Estimated data,8366.72917136954
39592,189035,Golden Meditech Holdings Limited,KYG395801247,Health Care,161.6,2183.8,3775.397,4.113,55.577,96.083,Value derived from data provided in Annual Report/Financial Accounts Disclosure,39.293054754861
39613,189041,Goodbaby International Holdings Limited,KYG398141013,Consumer Discretionary,2983.0,50506.0,234761.136,2.786,47.169,219.251,Value derived from data provided in Annual Report/Financial Accounts Disclosure,1070.739361431363
39734,189065,"Guangdong Provincial Expressway Development Co., Ltd.",CNE000000LT3,Industrials,11895.921,6342.346,100294.576,21.66,11.548,182.616,Estimated data,549.2092
39743,189067,CSSC Offshore & Marine Engineering (Group) Company Limited,CNE100000395,Industrials,30114.0,73838.0,362488.413,17.903,43.898,215.507,Value derived from data provided in Environmental/CSR,1682.028148551884
39768,189073,"Accelink Technologies Co,Ltd.",CNE100000F87,Information Technology,46186.377,40255.0,122429.622,52.756,45.981,139.845,Estimate used instead of disclosure - data does not cover global operations,875.4685854283
39820,189082,"Bank of Ningbo Co., Ltd.",CNE1000005P7,Financials,3468.127,4668.71,104873.72,0.738,0.993,22.309,Estimated data,4701.029935141816
39831,189084,"Beijing Teamsun Technology Co.,Ltd.",CNE000001HG6,Information Technology,5566.682,3288.564,20621.991,9.848,5.818,36.482,Estimated data,565.266780825287
39856,189089,"GF Securities Co., Ltd.",CNE0000008L2,Financials,2836.965,25732.49,120748.938,0.701,6.362,29.853,Value derived from data provided in Environmental/CSR,4044.720130565152
39864,189091,Guangdong Golden Dragon Development Inc.,CNE000000PJ5,Financials,96.858,1714.983,6776.76,0.405,7.174,28.347,Estimated data,239.063694774341
39897,189103,"JD.com, Inc.",US47215P1066,Consumer Discretionary,355585.45,646827.08,7212102.011,3.29,5.986,66.739,Value derived from data provided in Environmental/CSR,108064.2675891936
39899,189104,"Jiangsu Hoperun Software Co., Ltd.",CNE100001JT4,Information Technology,1563.21,1857.991,12681.511,4.349,5.17,35.285,Estimated data,359.4008
39904,189105,"JinkoSolar Holding Co., Ltd.",US47759T1007,Information Technology,66350.954,1174260.659,762081.304,13.035,230.693,149.717,Exact Value from Environmental/CSR,5090.144246207744
39923,189112,Phoenix New Media Limited,US71910C2026,Communication Services,548.847,1451.257,7764.046,3.133,8.285,44.326,Estimated data,175.157694725348
39970,189126,"Zhejiang Orient Financial Holdings Group Co., Ltd.",CNE000000V06,Consumer Discretionary,5759.361,19558.491,69424.285,2.506,8.512,30.212,Estimated data,2297.873835883479
39972,189127,"Zhonghang Electronic Measuring Instruments Co.,Ltd",CNE100000T08,Information Technology,2330.311,4752.21,42329.292,9.138,18.636,165.993,Estimated data,255.006499948999
39990,189132,Cheetah Mobile Inc.,US1630752038,Information Technology,982.28,1167.513,7968.727,4.349,5.17,35.285,Estimated data,225.837993199175
40010,189137,Fanhua Inc.,US30712A1034,Financials,281.845,3609.12,14703.794,0.595,7.622,31.051,Estimated data,473.543566680559
40032,189142,Daqo New Energy Corp.,US23703Q2030,Information Technology,42560.951,27265.959,101355.519,62.997,40.358,150.023,Estimated data,675.6
40035,189143,"Dare Power Dekor Home Co.,Ltd.",CNE000000YV2,Industrials,135037.12,29827.827,244551.122,128.295,28.339,232.342,Estimated data,1052.5488
40054,189149,"Songcheng Performance Development Co.,Ltd",CNE100000XG4,Consumer Discretionary,1212.98,5387.381,7755.358,9.275,41.194,59.3,Estimated data,130.781796061672
40063,189150,Fang Holdings Limited,US30711Y3009,Communication Services,677.3,1790.913,9581.161,3.133,8.285,44.326,Estimated data,216.152
40127,189164,Xunlei Limited,US98419E1082,Information Technology,1080.425,1264.387,10944.72,5.797,6.784,58.725,Estimated data,186.3709
40490,189251,"Guizhou Xinbang Pharmaceutical Co., Ltd.",CNE100000NG5,Health Care,13878.643,15347.551,75346.103,16.385,18.12,88.955,Estimated data,847.01147363764
40524,189259,Guoyuan Securities Company Limited,CNE000000QZ9,Financials,263.601,4667.35,18443.051,0.405,7.174,28.347,Estimate used instead of disclosure - data does not cover global operations,650.615356145166
40553,189266,Haichang Ocean Park Holdings Ltd.,KYG4231A1031,Consumer Discretionary,12327.12,122849.101,10037.802,72.825,725.751,59.3,Value derived from data provided in Annual Report/Financial Accounts Disclosure,169.2715949026
40560,189267,Hainan Meilan International Airport Company Limited,CNE1000003B2,Industrials,11051.7,35014.4,15478.172,55.693,176.448,77.999,Value derived from data provided in Annual Report/Financial Accounts Disclosure,198.4407
40640,189284,"Hebei Hengshui Laobaigan Liquor Co., Ltd.",CNE000001CX2,Consumer Staples,24692.902,14726.665,190323.77,47.367,28.249,365.089,Estimated data,521.30759994787
40703,189297,Hilong Holding Limited,KYG4509G1055,Energy,7602.0,24217.0,118442.835,20.002,63.717,311.635,Value derived from data provided in Environmental/CSR,380.069518416916
40747,189304,"Hisense Home Appliances Group Co., Ltd.",CNE000000LC9,Consumer Discretionary,4401.704,217634.98,2047581.118,0.628,31.038,292.012,Value derived from data provided in Environmental/CSR,7011.96938884343
40806,189320,Hualan Biological Engineering Inc.,CNE000001JN8,Health Care,14303.734,16277.242,54641.957,19.652,22.364,75.073,Estimated data,727.846278081832
40812,189321,"Huangshan Tourism Development Co.,Ltd.",CNE000000PV0,Consumer Discretionary,952.671,996.051,7154.496,8.875,9.279,66.649,Estimated data,107.345796756682
40817,189322,"Huapont Life Sciences Co., Ltd.",CNE000001JJ6,Materials,106991.108,28484.226,297488.753,67.89,18.074,188.768,Estimated data,1575.949141455401
40846,189326,Huishang Bank Corporation Limited,CNE100001QP7,Financials,1900.066,6606.012,67286.778,0.666,2.317,23.602,Estimate used instead of disclosure - data does not cover global operations,2850.859215453648
41198,189413,"Jiangsu Kanion Pharmaceutical Co.,Ltd.",CNE000001CL7,Health Care,7059.784,5239.6,39264.937,16.07,11.927,89.377,Estimated data,439.3163
41204,189414,"Jiangsu Yuyue Medical Equipment & Supply Co., Ltd.",CNE1000009X3,Health Care,17537.997,10283.022,143099.129,17.996,10.552,146.839,Estimated data,974.532025483396
41225,189420,"Shanghai Phoenix Enterprise (Group) Co., Ltd.",CNE000000DL7,Consumer Discretionary,5527.384,2735.267,80077.388,27.729,13.722,401.718,Estimated data,199.337399980066
41230,189421,Universal Health International Group Holding Limited,KYG9302L1106,Health Care,1014.628,114.717,15643.643,4.723,0.534,72.825,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,214.811147920771
41238,189422,"Jinzhou Port Co., Ltd.",CNE000000Z85,Industrials,29390.475,14085.481,76899.896,29.811,14.287,77.999,Estimated data,985.909
41255,189425,"Jonjee Hi-tech Industrial & Commercial Holding Co., Ltd.",CNE000000HK0,Consumer Staples,30714.631,16546.666,386809.883,41.374,22.289,521.054,Estimated data,742.360496393389
41652,189519,Greatview Aseptic Packaging Company Limited,KYG407691040,Materials,8127.697,55372.89,141022.27,18.459,125.756,320.271,Value derived from fuel use provided in Environmental/CSR,440.321486740276
41658,189520,"Gree Electric Appliances, Inc. of Zhuhai",CNE0000001D4,Consumer Discretionary,332043.059,400181.863,7198724.049,13.624,16.42,295.374,Estimated data,24371.517731389617
41707,189534,"Henan Pinggao Electric Co.,Ltd.",CNE000001774,Industrials,46729.778,21508.926,258992.801,32.972,15.177,182.744,Estimate used instead of disclosure - data does not cover global operations,1417.2445
41713,189535,"Hengtong Optic-electric Co., Ltd.",CNE000001FQ9,Information Technology,193855.605,147021.057,1356386.561,41.313,31.332,289.063,Estimated data,4692.3571
41804,189555,Guangdong - Hong Kong Greater Bay Area Holdings Limited,KYG4181B1014,Real Estate,392.7,11959.09,16487.46,0.725,22.085,30.448,Value derived from data provided in Environmental/CSR,541.501983693354
42022,189610,"Jiangling Motors Corporation, Ltd.",CNE000000CV8,Consumer Discretionary,58917.998,33128.226,1279707.206,12.286,6.908,266.858,Estimated data,4795.4642
42028,189611,"JCET Group Co., Ltd.",CNE000001F05,Information Technology,139391.897,121552.921,614475.626,36.352,31.699,160.247,Estimated data,3834.5467
42040,189614,"Keda Industrial Group Co., Ltd.",CNE000001CP8,Industrials,15661.34,28878.085,312983.261,14.63,26.977,292.378,Estimated data,1070.473956914714
42207,190647,"Founder Technology Group Co.,Ltd.",CNE0000001S2,Information Technology,19123.283,4059.352,75821.103,22.098,4.691,87.614,Estimated data,865.40249991346
42267,190659,"Fujian Star-net Communication Co., LTD.",CNE100000QF0,Information Technology,58741.285,11049.414,191314.466,39.343,7.401,128.137,Estimated data,1493.049657583721
42324,190670,Hollysys Automation Technologies Ltd.,VGG456671053,Information Technology,4938.768,9701.271,75168.006,9.812,19.274,149.342,Estimated data,503.327
42385,190684,Honghua Group Limited,KYG4584R1092,Energy,3843.6,15851.247,178040.398,6.747,27.826,312.537,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,569.661545740662
42601,190732,"Lepu Medical Technology (Beijing) Co., Ltd.",CNE100000H44,Health Care,20328.768,13713.241,126896.891,17.453,11.773,108.945,Estimated data,1164.781492490923
42717,190761,"Lu Thai Textile Co., Ltd.",CNE000000ST8,Consumer Discretionary,248991.559,31597.008,229179.561,361.677,45.897,332.898,Estimated data,688.436799931156
42728,190763,Luye Pharma Group Ltd.,BMG570071099,Health Care,12867.375,9650.297,71526.857,16.031,12.023,89.111,Estimated data,802.675939105374
42809,190780,Maoye International Holdings Limited,KYG5804G1047,Consumer Discretionary,19200.007,290322.416,139822.491,16.53,249.944,120.376,Estimated data,1161.550251882346
149,190872,Nam Tai Property Inc.,VGG639071023,Real Estate,900.636,3951.413,2168.055,12.648,55.493,30.448,Estimated data,71.206
164,190876,Nanjing Sample Technology Company Limited,CNE100000148,Information Technology,182.289,147.067,10537.378,1.33,1.073,76.878,Exact Value from Environmental/CSR,137.066233367861
166,190877,Nantong Jianghai Capacitor Co. Ltd.,CNE100000V79,Industrials,13879.385,19475.408,87112.807,36.352,51.008,228.158,Estimated data,381.8095
283,190908,Ningbo Joyson Electronic Corp.,CNE000000DJ1,Consumer Discretionary,76644.02,142967.007,2378267.276,11.947,22.286,370.723,Estimated data,6415.21491647588
751,191024,Poly Culture Group Corporation Limited,CNE100001S81,Communication Services,2342.16,72482.248,16891.478,6.956,215.268,50.167,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,336.70739996633
1165,191127,"Hangzhou Binjiang Real Estate Group Co.,Ltd",CNE100000BS5,Real Estate,86653.835,46115.373,866536.541,20.913,11.129,209.127,Estimated data,4143.583571631642
1171,191128,"Hangzhou Hikvision Digital Technology Co., Ltd.",CNE100000PM8,Information Technology,10619.149,144035.863,1651475.477,1.154,15.654,179.48,Exact Value from Environmental/CSR,9201.443084538943
1177,191129,"Hangzhou Robam Appliances Co., Ltd.",CNE100000WY9,Consumer Discretionary,32003.869,18053.034,353133.844,27.172,15.328,299.823,Estimated data,1177.807666465102
1182,191130,"Hangzhou Steam Turbine Power Group Co., Ltd.",CNE000000VS4,Industrials,10444.56,4954.978,119115.701,16.031,7.605,182.827,Estimated data,651.5203
1279,191154,Kaisa Group Holdings Ltd.,KYG521321003,Real Estate,5259.688,31392.161,1582982.712,0.651,3.885,195.891,Derived from previous year,8080.917592444745
1284,191155,"KAMA Co.,Ltd.",CNE000000WP8,Industrials,6217.079,6980.266,167601.991,10.793,12.118,290.974,Estimated data,576.002782596806
1384,191175,Livzon Pharmaceutical Group Inc.,CNE0000002Y8,Health Care,30427.8,543952.5,136244.474,19.961,356.837,89.377,Value derived from data provided in Environmental/CSR,1524.3732
1422,191185,"Markor International Home Furnishings Co., Ltd.",CNE0000015M5,Consumer Discretionary,9309.139,22284.327,113291.235,14.054,33.643,171.039,Estimated data,662.3706
1519,191205,MicroPort Scientific Corporation,KYG608371046,Health Care,2704.0,43016.0,93456.052,4.168,66.308,144.06,Value derived from data provided in Environmental/CSR,648.732
1540,191210,"Midea Group Co., Ltd.",CNE100001QQ5,Consumer Discretionary,105558.289,976263.227,13007624.418,2.563,23.706,315.851,Value derived from data provided in Environmental/CSR,41182.77693140199
1900,191313,Powerlong Real Estate Holdings Limited,KYG720051047,Real Estate,13844.79,382575.036,855247.24,2.692,74.385,166.288,Value derived from data provided in Environmental/CSR,5143.153367551451
2287,191402,INESA Intelligent Tech Inc.,CNE0000001T0,Information Technology,14854.497,10968.879,53496.372,22.339,16.495,80.45,Estimated data,664.962779842497
2579,191474,China Resources Medical Holdings Company Limited,KYG2133W1087,Health Care,5641.84,83060.02,29988.548,14.156,208.4,75.242,Value derived from data provided in Environmental/CSR,398.560226578037
2728,191515,"Shang Gong Group Co., Ltd.",CNE000000FY5,Industrials,8453.489,9413.178,100046.508,19.037,21.198,225.303,Estimated data,444.052392898687
2736,191517,"Shanghai Bailian (Group) Co., Ltd.",CNE000000CB0,Consumer Staples,52856.314,204640.901,499116.253,10.36,40.112,97.833,Estimated data,5101.7284
2745,191518,"Shanghai Baosight Software Co.,Ltd.",CNE000000C66,Information Technology,12373.079,7387.525,45054.606,8.972,5.357,32.67,Estimated data,1379.092860885993
2751,191519,Shanghai New Power Automotive Technology Company Limited,CNE000000FD9,Industrials,13497.065,15272.774,238603.29,15.192,17.191,268.567,Estimated data,888.430299911157
2759,191520,"Shanghai Haixin Group Co., Ltd.",CNE000000CF1,Health Care,6743.97,2833.529,18185.194,49.9,20.966,134.556,Estimated data,135.14928559575
2764,191521,"Shanghai Highly (Group) Co., Ltd.",CNE000000602,Industrials,19241.905,39782.534,366420.181,11.993,24.796,228.388,Estimated data,1604.372607156256
3135,191612,Sunac China Holdings Limited,KYG8569A1067,Real Estate,37359.82,456967.311,1017297.043,1.118,13.677,30.448,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,33411.354145655096
3168,191619,Sunny Optical Technology (Group) Company Limited,KYG8586D1097,Information Technology,3463.8,325681.7,828392.167,0.629,59.147,150.444,Value derived from data provided in Environmental/CSR,5506.332254031281
3438,191684,"Titan Wind Energy (Suzhou) Co.,Ltd",CNE100000YH0,Industrials,17649.811,8132.45,199060.638,15.129,6.971,170.63,Estimated data,1166.621666872359
3999,191808,"Weifu High-Technology Group Co., Ltd.",CNE000000J36,Consumer Discretionary,22303.373,41603.33,692074.623,11.947,22.286,370.723,Estimated data,1866.824426863471
4081,191825,"Wonders Information Co., Ltd",CNE100000ZD6,Information Technology,3905.453,2346.726,14823.411,8.96,5.384,34.007,Estimated data,435.888672712138
4128,191836,"Wuliangye Yibin Co.,Ltd.",CNE000000VQ8,Consumer Staples,419580.955,192238.875,1133005.717,50.518,23.146,136.414,Derived from previous year,8305.6351
4145,191840,"Xiamen International Port Co., Ltd",CNE1000004N5,Industrials,71646.769,82578.0,167361.424,27.949,32.213,65.287,Estimate used instead of disclosure - data does not cover global operations,2563.475216815716
4150,191842,Xingda International Holdings Limited,KYG9827V1068,Consumer Discretionary,534022.27,888429.338,1119467.691,479.893,798.378,1005.998,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,1112.793466489635
4213,191856,"Yonghui Superstores Co., Ltd.",CNE100000XX9,Consumer Staples,161407.123,541683.362,926062.082,11.952,40.112,68.576,Estimated data,13504.2476
4301,191875,"Lao Feng Xiang Co., Ltd.",CNE000000537,Consumer Discretionary,69377.879,81634.15,1503248.152,9.257,10.893,200.586,Estimated data,7494.276900694211
4395,191901,NetDragon Websoft Holdings Limited,KYG6427W1042,Communication Services,5686.89,6191.949,35969.137,6.395,6.963,40.445,Estimated data,889.324072195853
4435,191912,"Qingdao Eastsoft Communication Technology Co.,Ltd",CNE1000010C5,Information Technology,5638.544,4040.043,30319.299,44.444,31.845,238.983,Estimated data,126.867787501864
4440,191913,"Qingling Motors Co., Ltd.",CNE1000003Y4,Consumer Discretionary,14705.68,28074.2,219452.515,19.944,38.075,297.625,Value derived from data provided in Environmental/CSR,737.345040451853
4487,191923,"Shanghai Jin Jiang International Hotels Co., Ltd.",CNE000000HM6,Consumer Discretionary,29258.859,113509.55,104399.544,20.402,79.149,72.797,Estimated data,1434.123672987258
4494,191924,"Shanghai Jin Jiang Online Network Service Co., Ltd.",CNE0000004M9,Industrials,21657.356,7757.243,27229.306,56.149,20.111,70.595,Estimated data,385.712588346183
4512,191927,"Shanghai Waigaoqiao Free Trade Zone Group Co., Ltd.",CNE0000009V9,Industrials,79325.612,100014.028,77139.841,53.575,67.547,52.098,Estimated data,1480.658377902008
4535,191932,"Shengyi Technology Co.,Ltd.",CNE000000XL5,Information Technology,79412.287,80738.703,345897.854,37.315,37.938,162.535,Estimated data,2128.147822057851
4542,191933,"Shenzhen Airport Co., Ltd.",CNE000000VK1,Industrials,479576.087,1185.714,56943.705,1104.458,2.731,131.141,Estimated data,434.218486924061
4550,191934,"China Merchants Port Group Co., Ltd.",CNE0000007C3,Industrials,54123.601,27037.723,141555.05,29.602,14.788,77.421,Estimated data,1828.383900489614
4556,191935,"Shenzhen Wongtee International Enterprise Co., Ltd.",CNE000000J69,Real Estate,1189.803,5238.493,3016.874,11.975,52.722,30.363,Estimated data,99.359994841414
4562,191936,"OFILM Group Co., Ltd.",CNE100000S33,Information Technology,102357.089,203998.983,1010018.317,14.611,29.119,144.171,Estimate used instead of disclosure - data does not cover global operations,7005.714062150072
4568,191937,"Shenzhen Overseas Chinese Town Co.,Ltd.",CNE000000SS0,Consumer Discretionary,164907.004,114875.529,1419487.459,13.902,9.684,119.663,Estimated data,11862.419609878076
4573,191938,"Shenzhen SEG Co.,Ltd",CNE000000LB1,Real Estate,2640.035,11363.649,6433.523,12.98,55.872,31.632,Estimated data,203.386686356793
4876,192008,Tiangong International Company Limited,KYG888311134,Materials,88269.05,409734.794,181499.889,116.681,541.621,239.921,Value derived from data provided in Annual Report/Financial Accounts Disclosure,756.497781830201
4891,192013,"Tianshui Huatian Technology Co., Ltd.",CNE100000825,Information Technology,76512.487,49016.441,182208.404,62.997,40.358,150.023,Estimated data,1214.5367
5079,192062,Crazy Sports Group Limited,BMG249551091,Communication Services,38.2,213.305,1491.083,0.985,5.5,38.448,Value derived from data provided in Annual Report/Financial Accounts Disclosure,38.782063025099
5189,192084,Xinyi Solar Holdings Limited,KYG9829N1025,Information Technology,1912360.0,610553.0,203003.431,1204.371,384.516,127.848,Value derived from data provided in Environmental/CSR,1587.850123782293
5194,192085,"Xinzhi Group Co., Ltd.",CNE100001CH4,Consumer Discretionary,4988.625,9305.472,154797.25,11.947,22.286,370.723,Estimated data,417.5551
5200,192086,"Haisco Pharmaceutical Group Co., Ltd.",CNE100001BC7,Health Care,7752.91,5754.022,43119.953,16.07,11.927,89.377,Estimated data,482.448196031568
5211,192090,Xtep International Holdings Limited,KYG982771092,Consumer Discretionary,3576.718,168637.934,333958.43,3.021,142.42,282.039,Derived from previous year,1184.085028069101
5253,192100,"Yantai Jereh Oilfield Services Group Co., Ltd.",CNE100000L55,Energy,26920.336,29944.427,372754.89,22.398,24.914,310.137,Estimated data,1201.903908692794
5415,192136,"Siasun Robot&Automation Co.,Ltd.",CNE100000GH7,Industrials,13129.941,6500.586,53437.032,34.071,16.868,138.663,Estimated data,385.3726
